[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_lower_open.json: default/crystalmush/crystalmush_door_bottom_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_lower_open.json: default/crystalmush/crystalmush_door_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_slab.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_slab.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_slab.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/amethyst.json: default/amethyst
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/weed_seed.json: default/weed/seed
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/onyx.json: default/onyx
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_log.json: default/crystalmush/wood_crystalmush_side_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_log.json: default/crystalmush/wood_crystalmush_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_trapdoor_open.json: default/crystalmush/crystalmush_trapdoor_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/emerald_leggings.json: default/armors/emerald_leggings
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/dailily.json: default/flowers/dailily
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/ruby_helmet.json: default/armors/ruby_helmet
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_trapdoor.json: default/crystalmush/crystalmush_trapdoor_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/orax.json: default/orax
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/arrow_next_icon.json: required/arrow_next_icon
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/ruby_leggings.json: default/armors/ruby_leggings
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_trapdoor.json: default/crystalmush/crystalmush_trapdoor_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_stairs_outer.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_stairs_outer.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_stairs_outer.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

